symbol,y,x1,x2,x3,x4,underwriter,exchange,t10,p30,t30,p1h,t1h,p1d,t1d
MCEP,1.006,0.986,95850,0.306,0.029,10-37-38,1,8,1.006,8,1.008,39,1.017,320
MCFT,1.019,1.033,94107,0.353,0.108,37-38-39,1,5,1.019,5,1.041,39,1.041,39
MCOX,1.057,1.591,205499,0.029,0.137,1-32,1,0,1.057,0,1.057,0,1.057,0
MCRB,1.147,1.583,211770,0.196,0.120,2-8,1,5,1.172,20,1.206,36,1.804,247
MCUR,1.000,0.900,48150,0.331,0.058,1-3,1,0,1.000,0,1.000,0,1.000,0
MDWD,1.087,1.143,80000,0.246,0.143,1-3-31,1,4,1.087,4,1.087,4,1.100,316
MEMP,1.000,0.995,170100,0.560,0.116,18-37-38,1,0,1.005,13,1.005,13,1.005,13
MFRM,1.023,1.158,122222,0.168,0.139,6-17-32,1,3,1.023,3,1.036,47,1.045,334
MGNX,1.068,1.500,120000,0.208,0.121,8-56,1,9,1.100,14,1.100,14,1.100,14
MIK,1.008,1.000,472222,0.137,0.127,2-19,1,0,1.009,12,1.009,12,1.015,146
MKTO,1.021,1.538,121190,0.169,0.209,1-2,1,5,1.021,5,1.024,54,1.169,244
MMYT,1.057,1.571,110000,0.146,0.114,7,1,4,1.107,9,1.144,34,1.219,311
MOBI,1.167,0.750,43500,0.028,0.145,18,1,6,1.167,6,1.167,6,1.167,6
MOBL,1.124,1.111,111111,0.149,0.169,2-7-17-21,1,10,1.124,10,1.124,10,1.126,290
MOKO,1.061,1.100,9075,0.975,0.026,16-70,1,0,1.061,0,1.061,0,1.061,0
MOLG,1.036,0.860,145125,1.000,0.139,1-18-21-32,1,9,1.036,9,1.036,9,1.036,9
MOMO,1.087,1.056,228000,1.000,0.150,1-7-19-44,1,3,1.089,15,1.100,48,1.228,259
MRD,1.025,1.119,909928,0.222,0.117,17-18,1,10,1.045,14,1.056,53,1.069,100
MRKT,1.030,1.090,1398302,0.299,0.125,1-8-17-18,1,10,1.032,11,1.032,11,1.048,257
MRNS,1.020,1.000,45000,0.408,0.034,26-33,1,0,1.020,0,1.020,0,1.020,0
MTBC,1.000,1.000,20400,0.371,0.058,69-70-104,1,0,1.000,0,1.000,0,1.000,0
MTGE,1.015,0.950,152000,0.800,0.137,18-21-32-37,1,0,1.015,0,1.015,0,1.015,0
MTLS,1.000,1.000,96000,1.000,0.204,1-4,1,0,1.000,0,1.000,0,1.000,0
MTSI,1.105,1.005,114600,0.133,0.127,3-17-19,1,10,1.105,10,1.105,10,1.105,10
NCLH,1.016,1.321,590588,0.117,0.161,17-32,2,0,1.016,0,1.016,0,1.016,0
NCOM,1.067,1.079,35785,0.185,0.045,35,1,0,1.067,0,1.067,0,1.067,0
NDLS,1.178,1.778,171428,0.240,0.259,7-8-32,1,0,1.178,0,1.178,0,1.241,280
NDRM,1.000,0.945,42525,0.265,0.065,3-41,1,0,1.000,0,1.000,0,1.000,0
NEOS,1.015,1.215,87456,0.331,0.103,10-31-32,1,0,1.031,19,1.059,38,1.097,126
NERV,1.063,1.000,32727,0.298,0.077,3,1,6,1.063,6,1.063,6,1.063,6
NK,1.100,1.480,306656,0.105,0.135,3-4-8-18,1,0,1.100,0,1.100,0,1.100,0
NLNK,1.116,1.000,43400,0.301,0.024,11-26,1,2,1.116,2,1.116,2,1.116,2
NMIH,1.032,1.204,701349,0.900,0.002,,1,0,1.032,0,1.036,46,1.036,46
NRX,1.073,1.010,37572,0.350,0.019,69,1,0,1.073,0,1.073,0,1.073,0
NSTG,1.022,0.881,47574,0.370,0.000,7-19,1,7,1.022,7,1.022,7,1.022,7
NTEC,1.002,1.000,30150,0.497,0.005,13-14,1,0,1.002,0,1.002,0,1.003,357
NTRA,1.056,1.228,221000,0.206,0.189,4-7-41,1,7,1.056,7,1.056,7,1.102,120
NVET,1.039,0.912,36480,0.361,0.029,8-41,1,0,1.039,0,1.039,0,1.039,0
NVLS,1.057,1.179,90750,0.376,0.069,26-41,1,3,1.082,16,1.082,16,1.082,16
NXPI,1.069,0.929,442000,0.136,0.044,1-2-7,1,9,1.082,30,1.082,30,1.083,158
OCUL,1.005,1.000,65000,0.243,0.071,7-10-41,1,0,1.015,23,1.019,41,1.019,41
OLLI,1.014,1.417,202419,0.156,0.296,3-8-19,1,0,1.014,0,1.014,0,1.014,0
OMED,1.103,1.653,134880,0.177,0.082,3-56,1,0,1.103,0,1.103,0,1.103,0
ONCE,1.018,1.961,315700,0.298,0.177,1-19,1,1,1.018,1,1.018,1,1.151,280
ONTX,1.000,1.667,129166,0.251,0.043,18-56,1,0,1.000,0,1.000,0,1.000,0
OPGN,1.025,0.883,15105,0.266,0.013,13,1,0,1.025,0,1.025,0,1.025,0
OPHT,1.115,1.048,175256,0.252,0.121,7-19,1,10,1.167,11,1.167,11,1.167,11
ORPN,1.009,0.991,34880,0.225,0.085,12-14-69,1,0,1.009,0,1.009,0,1.009,0
OSN,1.056,1.000,22500,0.250,0.043,197-278,1,0,1.056,0,1.056,0,1.056,0
OTIC,1.007,1.133,113312,0.307,0.151,8-19,1,0,1.007,0,1.020,39,1.020,39
OXFD,1.114,1.167,75040,0.326,0.060,4-19,1,1,1.121,30,1.134,33,1.134,33
PACB,1.021,1.031,206250,0.249,0.062,7-19,1,9,1.023,14,1.023,14,1.023,14
PAHC,1.000,1.100,210298,0.731,0.091,7-8-17-54,1,0,1.015,22,1.015,22,1.030,301
PARN,1.025,0.925,46250,0.376,0.088,3-4,1,4,1.025,4,1.025,4,1.025,4
PBPB,1.144,2.047,214950,0.268,0.226,2-8,1,9,1.167,23,1.179,58,1.179,58
PCRX,1.036,1.000,42000,0.348,0.036,4-17,1,1,1.036,1,1.036,1,1.036,1
PCTY,1.000,1.824,218395,0.144,0.162,6-8-21,1,0,1.000,0,1.000,0,1.000,0
PEGI,1.008,1.095,385600,0.450,0.101,7-31-227,1,0,1.008,0,1.008,0,1.008,0
PETX,1.170,1.167,40250,0.290,0.003,26-80,1,11,1.300,18,1.300,18,1.300,18
PFMT,1.078,1.028,83250,0.199,0.098,2-7,1,8,1.124,17,1.124,17,1.168,298
PFPT,1.015,1.296,106650,0.213,0.098,1-21-42,1,0,1.015,0,1.015,0,1.015,0
PIH,1.062,1.000,15100,0.578,0.036,69,1,5,1.062,5,1.062,5,1.062,5
PINC,1.000,1.148,872710,1.000,0.113,8-19-37,1,0,1.000,0,1.000,0,1.013,339
PLAY,1.059,1.062,100000,0.150,0.160,3-4,1,0,1.059,0,1.084,47,1.084,47
PRAH,1.050,1.031,314918,0.296,0.077,3-18-32-116,1,3,1.051,22,1.063,57,1.099,166
PRMW,1.000,1.250,124999,0.438,0.083,26,1,0,1.000,0,1.000,0,1.000,0
PRQR,1.099,1.531,149250,0.338,0.070,21-56,1,0,1.099,0,1.099,0,1.099,0
PRSS,1.055,1.132,96750,0.265,0.169,3-19,1,4,1.055,4,1.055,4,1.055,4
PRTO,1.062,1.130,69043,0.407,0.006,26-33,1,0,1.062,0,1.062,0,1.062,0
PTCT,1.044,1.053,132277,0.354,0.081,1-19,1,8,1.063,13,1.070,42,1.101,125
PTLA,1.009,1.052,128447,0.249,0.070,1-7,1,0,1.009,0,1.009,0,1.009,0
PTXP,1.003,1.047,235687,0.562,0.102,10-17-18-87,1,0,1.003,0,1.003,0,1.003,0
PUB,1.045,1.087,39400,0.146,0.038,83,1,10,1.045,10,1.095,57,1.109,67
QIWI,1.019,1.000,212500,1.000,0.100,1-19,1,0,1.019,0,1.022,51,1.022,51
QLIK,1.104,1.200,134400,0.149,0.128,7-18-19,1,10,1.104,10,1.104,10,1.104,10
QLYS,1.042,1.000,90900,0.252,0.173,1-19,1,4,1.042,4,1.042,4,1.238,316
QUNR,1.234,1.890,314996,1.000,0.113,21-135,1,5,1.234,5,1.234,5,1.234,5
QURE,1.044,1.000,91800,0.307,0.135,3-56,1,0,1.044,0,1.044,0,1.044,0
RARE,1.048,2.181,263824,0.198,0.108,7-19,1,1,1.048,1,1.048,1,1.048,1
RCPT,1.011,1.071,78000,0.295,0.030,1-31-56,1,0,1.011,0,1.011,0,1.011,0
RDUS,1.051,1.004,52194,0.225,0.022,3-41,1,4,1.051,4,1.051,4,1.051,4
REGI,1.019,1.010,72720,1.000,0.062,4-32,1,5,1.019,5,1.019,5,1.019,5
REPH,1.049,1.066,31987,0.525,0.026,69,1,0,1.049,0,1.049,0,1.049,0
RESN,1.154,1.667,27000,0.416,0.003,134,1,0,1.154,0,1.154,0,1.154,0
RGLS,1.159,1.183,53212,0.330,0.002,31-41-80,1,0,1.159,0,1.159,0,1.159,0
RKDA,1.028,0.936,61418,0.190,0.029,1-4-19,1,0,1.028,0,1.028,0,1.028,0
RLYP,1.007,1.145,86241,0.239,0.048,7-8,1,0,1.007,0,1.007,0,1.007,0
RNET,1.000,1.000,60000,0.344,0.019,3-21,1,0,1.032,19,1.032,19,1.050,339
ROKA,1.004,1.000,60000,0.284,0.080,8-56,1,0,1.004,0,1.004,0,1.004,0
RP,1.021,1.182,159900,0.197,0.045,1-21,1,0,1.146,27,1.146,27,1.262,276
RPD,1.026,1.672,172537,0.171,0.280,7-17,1,1,1.026,1,1.026,1,1.026,1
RPXC,1.029,1.263,202330,0.183,0.172,2-17,1,0,1.029,0,1.029,0,1.029,0
RTRX,1.119,1.235,49411,0.204,0.005,3,1,4,1.119,4,1.119,4,1.143,389
RTTR,1.100,1.000,20000,0.514,0.046,69-70,1,0,1.100,0,1.100,0,1.100,0
RVNC,1.119,1.312,126000,0.338,0.101,4-41,1,6,1.236,23,1.258,45,1.294,265
RWLK,1.107,1.000,36000,0.264,0.275,3-17,1,5,1.699,25,1.858,60,2.500,176
SABR,1.023,1.049,658168,0.152,0.082,2-7-8-21,1,1,1.023,1,1.023,1,1.023,1
SAGE,1.111,1.500,135000,0.200,0.171,2-19,1,7,1.130,18,1.130,18,1.130,18
SALE,1.030,1.262,240909,0.206,0.104,1-2-7,1,0,1.051,26,1.060,47,1.074,198
SAMG,1.132,1.036,54613,1.000,0.003,34-38,1,6,1.132,6,1.132,6,1.132,6
SAVE,1.013,0.946,177060,0.217,0.069,7-18,2,7,1.020,14,1.024,33,1.029,138
SCAI,1.014,1.167,273777,0.256,0.145,18-19,1,8,1.019,16,1.019,16,1.019,16
SCTY,1.145,1.156,106375,0.157,0.042,1-2-8,1,6,1.149,25,1.234,59,1.373,116
SCYX,1.009,0.975,60450,0.733,0.034,10-11,1,0,1.009,0,1.009,0,1.009,0
SEDG,1.022,1.111,140000,0.184,0.171,2-21,1,0,1.035,23,1.035,23,1.149,198
SEMI,1.017,1.154,108000,0.306,0.074,2-21-37,1,0,1.017,0,1.033,39,1.069,74
SFBS,1.021,1.000,56875,0.076,0.038,34,1,0,1.021,0,1.021,0,1.021,0
SFM,1.114,1.944,647500,0.129,0.190,1-2,1,7,1.114,7,1.114,7,1.161,249
SFXE,1.030,1.000,260000,0.239,0.137,3-17-21-32,1,0,1.030,0,1.030,0,1.030,0
SGNL,1.080,0.925,7862,0.225,0.057,69,1,0,1.080,0,1.080,0,1.080,0
SGNT,1.036,1.141,104937,0.214,0.126,3-7-8,1,3,1.036,3,1.036,3,1.108,293
SIEN,1.020,1.175,88100,0.353,0.090,4-26,1,0,1.020,0,1.020,0,1.020,0
SKIS,1.021,1.000,90000,0.715,0.173,26-39-120,1,0,1.021,0,1.021,0,1.021,0
SKUL,1.017,1.150,217158,0.353,0.165,7-8,1,0,1.017,0,1.017,0,1.017,0
SKYS,1.030,1.032,45636,1.000,0.005,14-41-120,1,0,1.030,0,1.046,59,1.189,219
SMMT,1.035,1.012,34569,1.000,0.009,12-33,1,2,1.035,2,1.035,2,1.035,2
SMT,1.543,1.029,679525,0.876,0.062,7-21-227,1,0,1.543,0,1.543,0,1.543,0
SNC,1.000,1.002,368742,0.694,0.000,,1,0,1.005,17,1.005,17,1.005,17
SODA,1.030,1.238,134822,0.296,0.258,19-21,1,4,1.030,4,1.030,4,1.030,4
SPHS,1.010,0.980,63700,0.805,0.075,18-56,1,0,1.010,0,1.010,0,1.010,0
SPKE,1.021,1.000,54000,1.000,0.149,26-39,1,3,1.021,3,1.021,3,1.021,3
SPLK,1.000,1.882,432000,0.146,0.179,1-7-8-19,1,0,1.000,0,1.000,0,1.000,0
SPRO,1.029,0.946,72875,0.411,0.051,8-26-41,1,0,1.029,0,1.029,0,1.029,0
SPWH,1.026,1.000,118750,0.303,0.081,1-2,1,10,1.032,15,1.032,15,1.058,333
SQBK,1.021,1.111,115622,0.213,0.112,34-35,1,0,1.021,0,1.021,0,1.035,253
SQI,1.098,1.211,69000,0.295,0.075,26,1,5,1.117,28,1.117,28,1.196,195
SREV,1.026,1.365,162982,0.182,0.128,7-21,1,4,1.026,4,1.026,4,1.026,4
STCK,1.050,1.054,103320,0.269,0.110,2,1,9,1.050,9,1.050,9,1.050,9
STDY,1.010,0.948,37882,0.384,0.080,10-37,1,0,1.010,0,1.010,0,1.067,359
STML,1.091,1.100,36494,0.477,0.019,10-12-33-69,1,2,1.091,2,1.091,2,1.139,231
SUPN,1.078,1.300,65000,0.418,0.014,4-18,1,0,1.078,0,1.078,0,1.078,0
SYNC,1.108,1.150,39204,0.267,0.051,8-18-26,1,4,1.108,4,1.108,4,1.108,4
SYRX,1.000,1.000,19999,0.189,0.016,192-214,1,0,1.000,0,1.000,0,1.000,0
SZYM,1.063,1.111,219500,0.190,0.105,2-7,1,8,1.073,29,1.100,51,1.100,51
TANH,1.247,1.500,19200,0.148,0.001,60-114,1,8,1.583,25,1.583,25,1.583,25
TBK,1.006,1.015,81606,0.404,0.054,34-37-48,1,10,1.018,30,1.043,60,1.047,309
TCON,1.002,0.975,35100,0.298,0.000,26-37,1,5,1.002,5,1.005,57,1.005,57
TERP,1.019,1.330,667361,0.726,0.229,2-17-18,1,7,1.032,23,1.032,23,1.032,23
TFM,1.000,1.591,461125,0.275,0.254,2-8-19,1,0,1.000,0,1.000,0,1.000,0
TGEN,1.000,1.255,3860,0.041,0.001,200,1,0,1.000,0,1.000,0,1.131,161
THST,1.008,0.990,16038,1.000,0.006,91-94-147-240,1,7,1.008,7,1.008,7,1.008,7
TKAI,1.344,1.242,120722,0.297,0.052,6-26-31,1,8,1.610,20,1.610,20,1.610,20
TLMR,1.073,1.058,213888,0.222,0.107,19-35,1,1,1.073,1,1.073,1,1.073,1
TNDM,1.036,1.300,156000,0.374,0.119,4-8,1,0,1.036,0,1.036,0,1.036,0
TOUR,1.153,1.000,72000,1.000,0.066,1-7-44,1,10,1.160,20,1.160,20,1.182,195
TRIV,1.083,0.946,73775,0.336,0.054,1-19,1,10,1.091,25,1.091,25,1.216,276
TRNX,1.579,1.000,166250,0.228,0.098,8-19,1,-9,1.579,-9,1.579,-9,1.579,-9
TRUE,1.086,1.078,75417,0.109,0.096,2-10-19,1,10,1.109,29,1.109,29,1.109,29
TRVN,1.020,1.016,65767,0.359,0.049,3-17,1,0,1.020,0,1.020,0,1.020,0
TSC,1.018,1.087,71250,0.205,0.047,35-39-55,1,0,1.018,0,1.018,0,1.023,77
TSRO,1.000,1.037,84000,0.225,0.000,7-18-56,1,0,1.000,0,1.000,0,1.000,0
TTOO,1.003,1.450,82940,0.271,0.107,2-7,1,0,1.003,0,1.003,0,1.003,0
TTPH,1.042,1.029,77142,0.539,0.016,17-31,1,0,1.042,0,1.042,0,1.042,0
TUBE,1.056,1.286,56250,0.218,0.067,8-10-18,1,0,1.162,30,1.198,33,1.327,307
TWOU,1.002,1.000,119275,0.234,0.148,1-2,1,8,1.055,30,1.068,60,1.104,66
UBIC,1.039,1.033,9526,1.000,0.012,6-13-39-115,1,0,1.039,0,1.039,0,1.039,0
UBNT,1.061,1.100,116130,0.078,0.034,21-32-38,1,10,1.103,29,1.152,31,1.152,31
UPLD,1.000,0.917,42307,0.268,0.117,6-38,1,0,1.032,16,1.032,16,1.032,16
VA,1.065,1.174,360114,0.311,0.121,17-21,1,10,1.093,29,1.101,32,1.155,167
VBLT,1.018,1.003,40133,0.337,0.024,21,1,0,1.018,0,1.018,0,1.018,0
VBTX,1.000,1.077,37800,0.298,0.028,34-55,1,0,1.000,0,1.000,0,1.000,0
VCYT,1.015,1.000,65000,0.238,0.164,7-56,1,10,1.086,26,1.086,26,1.086,26
VGGL,1.000,0.956,33468,0.318,0.005,14-96,1,0,1.000,0,1.000,0,1.000,0
VIRT,1.029,1.211,380242,0.519,0.192,2-19-34,1,0,1.029,0,1.029,0,1.029,0
VKTX,1.115,1.062,25500,0.328,0.012,12-14-102,1,2,1.115,2,1.115,2,1.115,2
VNOM,1.057,1.212,157500,0.066,0.131,1-17-37,1,10,1.079,28,1.090,32,1.090,32
VRA,1.039,1.438,253000,0.272,0.134,4-39,1,0,1.042,30,1.054,33,1.293,312
VRNS,1.051,1.773,187200,0.201,0.262,3-7-10-17,1,8,1.062,29,1.078,55,1.230,295
VSAR,1.143,1.333,168000,0.258,0.146,7-18,1,7,1.172,28,1.267,42,1.296,129
VSTM,1.043,1.100,60500,0.272,0.021,32-56,1,2,1.043,2,1.043,2,1.043,2
VTAE,1.059,1.000,55000,0.396,0.032,26-31,1,0,1.059,0,1.059,0,1.059,0
VTL,1.020,1.021,55125,0.213,0.033,1-6-8,1,6,1.020,6,1.020,6,1.020,6
VTVT,1.000,0.933,109375,1.000,0.103,4-26,1,0,1.000,0,1.000,0,1.000,0
VWR,1.018,1.000,536172,0.200,0.097,2-8-19,1,8,1.018,8,1.018,8,1.018,8
WATT,1.136,1.583,38000,0.453,0.008,134,1,1,1.136,1,1.136,1,1.205,185
WHLR,1.000,1.190,25000,0.933,0.000,214-257-258,1,0,1.000,0,1.000,0,1.000,0
WIFI,1.052,0.926,72125,0.177,0.155,1-21,1,0,1.052,0,1.052,0,1.052,0
WING,1.049,1.605,176900,0.203,0.260,3-7-39,1,2,1.049,2,1.049,2,1.049,2
WIX,1.022,1.121,142450,0.210,0.223,8-10-19,1,0,1.022,0,1.022,0,1.022,0
WOWO,1.052,1.106,44240,1.000,0.010,58,1,0,1.052,0,1.052,0,1.052,0
WSTC,1.011,0.950,404225,0.255,0.090,2-7,1,0,1.011,0,1.011,0,1.018,108
XBIT,1.033,1.211,92000,0.126,0.017,91,1,0,1.076,24,1.076,24,1.103,90
XELB,1.000,1.011,16380,0.100,0.002,40,1,0,1.000,0,1.000,0,1.000,0
XENE,1.045,1.113,40080,0.295,0.013,3-37,1,0,1.045,0,1.045,0,1.153,177
XENT,1.034,1.200,66000,0.222,0.136,4-19,1,6,1.034,6,1.034,6,1.034,6
XGTI,1.071,1.002,7371,0.128,0.010,69-94,1,0,1.071,0,1.071,0,1.071,0
XLRN,1.082,1.233,103230,0.210,0.127,18-56,1,0,1.124,23,1.124,23,1.124,23
XNCR,1.066,1.082,75743,0.433,0.012,1-56,1,8,1.076,23,1.089,38,1.424,353
XNET,1.094,1.184,103946,1.000,0.123,18-19,1,3,1.094,3,1.094,3,1.094,3
XONE,1.054,1.314,125398,0.414,0.121,120,1,11,1.087,11,1.097,50,1.152,253
XOOM,1.046,1.312,132825,0.199,0.142,17-57,1,10,1.071,26,1.085,52,1.224,314
YDLE,1.062,1.350,101250,0.221,0.158,1-2-8,1,0,1.077,14,1.104,57,1.109,63
YECO,1.021,1.000,14062,0.190,0.055,16-58-59-60,1,0,1.021,0,1.021,0,1.021,0
YNDX,1.429,1.400,1826093,0.404,0.158,2-7-21,1,0,1.429,0,1.429,0,1.429,0
YY,1.094,1.000,81900,1.000,0.064,7-18-21,1,7,1.119,25,1.119,25,1.119,25
Z,1.000,3.000,207720,0.199,0.075,18,1,0,1.000,0,1.000,0,1.000,0
ZFGN,1.050,1.250,120000,0.275,0.071,41-56,1,0,1.050,0,1.050,0,1.050,0
ZGNX,1.070,1.250,70000,0.417,0.006,37-56,1,0,1.070,0,1.070,0,1.070,0
ZLTQ,1.045,1.105,100590,0.214,0.000,2-19,1,5,1.103,30,1.106,31,1.137,160
ZNGA,1.045,1.100,1100000,1.000,0.139,2-7,1,0,1.045,0,1.045,0,1.045,0
ZSAN,1.020,1.105,54720,0.381,0.022,14-43-96,1,0,1.020,0,1.020,0,1.020,0
ZSPH,1.023,1.512,161748,0.301,0.133,1-19,1,4,1.023,4,1.029,49,1.043,305
ZU,1.059,1.773,448500,1.000,0.152,2-8-18,1,2,1.059,2,1.059,2,1.059,2
AAC,1.005,1.333,100000,0.242,0.061,6-37-38,2,0,1.005,0,1.005,0,1.005,0
AAT,1.022,1.050,592075,0.785,0.050,7-8-37,2,0,1.022,0,1.022,0,1.022,0
ACRE,1.011,0.973,138600,0.834,0.080,8-18-19-37,2,0,1.011,0,1.011,0,1.011,0
ADPT,1.039,1.144,123284,0.523,0.162,2-21,2,3,1.039,3,1.039,3,1.063,141
AGRO,1.116,0.977,307142,0.247,0.102,1-7-22,2,10,1.116,10,1.116,10,1.127,99
AHH,1.005,1.006,191194,0.990,0.000,26-38-39,2,1,1.005,1,1.007,35,1.007,35
AJX,1.000,1.000,71250,0.334,0.078,49-117-120,2,0,1.000,0,1.000,0,1.000,0
AL,1.008,1.028,825212,0.323,0.114,1-19,2,3,1.016,15,1.028,54,1.042,90
ALLY,1.022,0.970,2303750,0.197,0.046,2-7-17-18-19,2,9,1.022,9,1.022,9,1.022,9
ALSN,1.007,1.000,600300,0.144,0.117,8-18-19,2,0,1.010,30,1.010,30,1.022,181
AM,1.009,1.220,1220000,0.527,0.148,17-18-37,2,0,1.009,0,1.009,0,1.009,0
AMBR,1.023,1.346,129352,0.298,0.106,26,2,0,1.023,0,1.023,0,1.023,0
AMC,1.027,1.066,353315,0.974,0.107,8-18,2,2,1.027,2,1.032,38,1.032,38
AMH,1.029,0.974,687794,0.248,0.071,2-8-19-37-120,2,11,1.041,12,1.041,12,1.074,115
AMID,1.016,1.000,78750,0.829,0.099,8-18,2,0,1.016,0,1.016,0,1.016,0
AMRC,1.063,1.025,89142,0.388,0.036,8,2,3,1.063,3,1.063,3,1.063,3
AMTG,1.005,0.950,190000,0.974,0.111,1-7-19,2,0,1.005,0,1.005,0,1.005,0
ANET,1.053,1.285,290062,0.083,0.218,7-18,2,9,1.054,12,1.054,12,1.086,80
ANFI,1.009,1.000,90000,0.252,0.181,21-32,2,0,1.024,21,1.024,21,1.024,21
APAM,1.031,1.173,389106,1.000,0.132,2-18,2,9,1.033,24,1.033,24,1.122,339
APO,1.016,0.984,556466,0.246,0.126,2-8-19,2,0,1.016,0,1.016,0,1.016,0
APTS,1.000,1.000,45000,0.893,0.006,40,2,0,1.000,0,1.000,0,1.000,0
AR,1.016,1.231,1934508,0.137,0.145,17-18-19,2,0,1.016,0,1.016,0,1.016,0
ARCO,1.025,1.235,1543167,0.567,0.116,7-8-18-19-22,2,0,1.026,16,1.036,46,1.048,82
ARCX,1.018,1.000,114000,0.987,0.071,17-18,2,0,1.018,0,1.018,0,1.018,0
ARES,1.012,0.955,206249,0.141,0.075,8-19,2,10,1.016,30,1.026,49,1.033,370
ARMK,1.025,1.012,734062,0.158,0.073,1-2-7-19,2,8,1.066,27,1.106,48,1.157,334
ARPI,1.000,1.000,287710,0.426,0.029,3-7-8-120,2,0,1.000,0,1.000,0,1.000,0
ASC,1.015,0.964,135000,0.554,0.074,3-7-47,2,2,1.015,2,1.015,2,1.015,2
ASPN,1.011,1.000,82500,0.326,0.036,17-18-19,2,0,1.011,0,1.011,0,1.011,0
ATEN,1.182,0.917,171875,0.212,0.120,7-8-19,2,10,1.199,28,1.200,35,1.200,35
